"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"MXM00076393","MONTERREY CITY, MX","25.733","-100.3","515.0","2017-01-03","0.0",",,S","20.0","H,,S","32.6",",,S","15.0",",,S"
"MXM00076393","MONTERREY CITY, MX","25.733","-100.3","515.0","2017-01-04","0.0",",,S","17.6","H,,S",,,,
"MXM00076393","MONTERREY CITY, MX","25.733","-100.3","515.0","2017-01-05","0.0",",,S","14.8","H,,S",,,,
"MXM00076393","MONTERREY CITY, MX","25.733","-100.3","515.0","2017-01-06","0.0",",,S","14.5","H,,S",,,,
"MXM00076393","MONTERREY CITY, MX","25.733","-100.3","515.0","2017-01-07","0.8",",,S","2.9","H,,S","10.8",",,S","-0.6",",,S"
"MXM00076393","MONTERREY CITY, MX","25.733","-100.3","515.0","2017-01-08","0.0",",,S","5.6","H,,S","10.4",",,S","-0.6",",,S"
"MXM00076393","MONTERREY CITY, MX","25.733","-100.3","515.0","2017-01-09","0.0",",,S","10.5","H,,S",,,,
"MXM00076393","MONTERREY CITY, MX","25.733","-100.3","515.0","2017-01-10","0.0",",,S","16.3","H,,S",,,,
"MXM00076393","MONTERREY CITY, MX","25.733","-100.3","515.0","2017-01-11","0.0",",,S","18.2","H,,S","29.0",",,S","7.6",",,S"
"MXM00076393","MONTERREY CITY, MX","25.733","-100.3","515.0","2017-01-12","0.0",",,S","18.9","H,,S","27.6",",,S","9.8",",,S"
"MXM00076393","MONTERREY CITY, MX","25.733","-100.3","515.0","2017-01-13","0.0",",,S","20.4","H,,S","27.6",",,S","10.8",",,S"
"MXM00076393","MONTERREY CITY, MX","25.733","-100.3","515.0","2017-01-14","0.0",",,S","21.1","H,,S","27.9",",,S","13.8",",,S"
"MXM00076393","MONTERREY CITY, MX","25.733","-100.3","515.0","2017-01-15","1.0",",,S","19.7","H,,S","25.8",",,S","16.4",",,S"
"MXM00076393","MONTERREY CITY, MX","25.733","-100.3","515.0","2017-01-16","0.0",",,S","20.2","H,,S","27.2",",,S","16.0",",,S"
"MXM00076393","MONTERREY CITY, MX","25.733","-100.3","515.0","2017-01-17","0.0",",,S","19.6","H,,S","25.0",",,S","16.0",",,S"
"MXM00076393","MONTERREY CITY, MX","25.733","-100.3","515.0","2017-01-18","0.0",",,S","17.7","H,,S","21.4",",,S","13.8",",,S"
"MXM00076393","MONTERREY CITY, MX","25.733","-100.3","515.0","2017-01-19",,,"17.0","H,,S",,,,
"MXM00076393","MONTERREY CITY, MX","25.733","-100.3","515.0","2017-01-20","0.0",",,S","22.4","H,,S","29.0",",,S","13.4",",,S"
"MXM00076393","MONTERREY CITY, MX","25.733","-100.3","515.0","2017-01-21","0.0",",,S","23.7","H,,S","31.6",",,S","14.0",",,S"
"MXM00076393","MONTERREY CITY, MX","25.733","-100.3","515.0","2017-01-22","0.0",",,S","25.2","H,,S","34.0",",,S","13.0",",,S"
"MXM00076393","MONTERREY CITY, MX","25.733","-100.3","515.0","2017-01-23","0.0",",,S","19.9","H,,S","29.8",",,S","13.0",",,S"
"MXM00076393","MONTERREY CITY, MX","25.733","-100.3","515.0","2017-01-24","0.0",",,S","21.8","H,,S",,,,
"MXM00076393","MONTERREY CITY, MX","25.733","-100.3","515.0","2017-01-25","0.0",",,S","22.9","H,,S","35.6",",,S","11.0",",,S"
"MXM00076393","MONTERREY CITY, MX","25.733","-100.3","515.0","2017-01-26","0.0",",,S","16.7","H,,S","27.8",",,S","11.4",",,S"
"MXM00076393","MONTERREY CITY, MX","25.733","-100.3","515.0","2017-01-27","0.0",",,S","13.2","H,,S","21.8",",,S","9.0",",,S"
"MXM00076393","MONTERREY CITY, MX","25.733","-100.3","515.0","2017-01-28",,,"7.7","H,,S",,,,
"MXM00076393","MONTERREY CITY, MX","25.733","-100.3","515.0","2017-01-29",,,"9.5","H,,S","17.6",",,S","4.4",",,S"
"MXM00076393","MONTERREY CITY, MX","25.733","-100.3","515.0","2017-01-30","0.0",",,S","15.9","H,,S",,,,
"MXM00076393","MONTERREY CITY, MX","25.733","-100.3","515.0","2017-01-31","0.0",",,S","15.9","H,,S","23.6",",,S","10.0",",,S"
"MXM00076393","MONTERREY CITY, MX","25.733","-100.3","515.0","2017-02-01","0.0",",,S","16.9","H,,S","27.4",",,S","11.0",",,S"
"MXM00076393","MONTERREY CITY, MX","25.733","-100.3","515.0","2017-02-02","0.0",",,S","20.8","H,,S","32.0",",,S","12.0",",,S"
"MXM00076393","MONTERREY CITY, MX","25.733","-100.3","515.0","2017-02-03","0.0",",,S","17.2","H,,S",,,,
"MXM00076393","MONTERREY CITY, MX","25.733","-100.3","515.0","2017-02-04","0.0",",,S","13.4","H,,S",,,,
"MXM00076393","MONTERREY CITY, MX","25.733","-100.3","515.0","2017-02-05","0.0",",,S","15.9","H,,S",,,,
"MXM00076393","MONTERREY CITY, MX","25.733","-100.3","515.0","2017-02-06","0.0",",,S","20.0","H,,S",,,,
"MXM00076393","MONTERREY CITY, MX","25.733","-100.3","515.0","2017-02-07","0.0",",,S","25.8","H,,S",,,,
"MXM00076393","MONTERREY CITY, MX","25.733","-100.3","515.0","2017-02-08","0.0",",,S","24.8","H,,S","36.3",",,S","15.6",",,S"
"MXM00076393","MONTERREY CITY, MX","25.733","-100.3","515.0","2017-02-09","0.0",",,S","23.9","H,,S","36.5",",,S","14.6",",,S"
"MXM00076393","MONTERREY CITY, MX","25.733","-100.3","515.0","2017-02-10","0.0",",,S","19.6","H,,S","27.0",",,S","14.0",",,S"
"MXM00076393","MONTERREY CITY, MX","25.733","-100.3","515.0","2017-02-11","0.0",",,S","22.4","H,,S",,,,
"MXM00076393","MONTERREY CITY, MX","25.733","-100.3","515.0","2017-02-12","0.0",",,S","21.9","H,,S","33.2",",,S","15.0",",,S"
"MXM00076393","MONTERREY CITY, MX","25.733","-100.3","515.0","2017-02-13",,,"22.2","H,,S",,,,
"MXM00076393","MONTERREY CITY, MX","25.733","-100.3","515.0","2017-02-14","0.0",",,S","20.3","H,,S","29.2",",,S","15.4",",,S"
"MXM00076393","MONTERREY CITY, MX","25.733","-100.3","515.0","2017-02-15","0.0",",,S","14.8","H,,S","24.6",",,S","10.0",",,S"
"MXM00076393","MONTERREY CITY, MX","25.733","-100.3","515.0","2017-02-16","0.0",",,S","15.1","H,,S","21.6",",,S","10.0",",,S"
"MXM00076393","MONTERREY CITY, MX","25.733","-100.3","515.0","2017-02-17","1.0",",,S","18.6","H,,S",,,,
"MXM00076393","MONTERREY CITY, MX","25.733","-100.3","515.0","2017-02-18","0.0",",,S","21.1","H,,S","30.0",",,S","11.4",",,S"
"MXM00076393","MONTERREY CITY, MX","25.733","-100.3","515.0","2017-02-19","0.0",",,S","22.9","H,,S","33.6",",,S","13.4",",,S"
"MXM00076393","MONTERREY CITY, MX","25.733","-100.3","515.0","2017-02-20",,,"23.3","H,,S","31.8",",,S","17.6",",,S"
"MXM00076393","MONTERREY CITY, MX","25.733","-100.3","515.0","2017-02-21","0.0",",,S","23.7","H,,S",,,,
"MXM00076393","MONTERREY CITY, MX","25.733","-100.3","515.0","2017-02-22","0.0",",,S","24.1","H,,S",,,,
"MXM00076393","MONTERREY CITY, MX","25.733","-100.3","515.0","2017-02-23","0.0",",,S","28.4","H,,S","36.8",",,S","15.2",",,S"
"MXM00076393","MONTERREY CITY, MX","25.733","-100.3","515.0","2017-02-24","0.0",",,S","26.1","H,,S","38.4",",,S","15.2",",,S"
"MXM00076393","MONTERREY CITY, MX","25.733","-100.3","515.0","2017-02-25","0.0",",,S","20.6","H,,S",,,,
"MXM00076393","MONTERREY CITY, MX","25.733","-100.3","515.0","2017-02-26","0.0",",,S","20.5","H,,S",,,,
"MXM00076393","MONTERREY CITY, MX","25.733","-100.3","515.0","2017-02-27","0.0",",,S","24.7","H,,S","34.8",",,S","15.6",",,S"
"MXM00076393","MONTERREY CITY, MX","25.733","-100.3","515.0","2017-02-28",,,"27.1","H,,S","37.4",",,S","15.6",",,S"
"MXM00076393","MONTERREY CITY, MX","25.733","-100.3","515.0","2017-03-01","0.0",",,S","25.9","H,,S","35.4",",,S","17.4",",,S"
"MXM00076393","MONTERREY CITY, MX","25.733","-100.3","515.0","2017-03-02","0.0",",,S","19.6","H,,S","31.2",",,S","13.0",",,S"
"MXM00076393","MONTERREY CITY, MX","25.733","-100.3","515.0","2017-03-03","0.0",",,S","16.2","H,,S","23.6",",,S","13.0",",,S"
"MXM00076393","MONTERREY CITY, MX","25.733","-100.3","515.0","2017-03-04","0.0",",,S","14.8","H,,S","20.6",",,S","13.4",",,S"
"MXM00076393","MONTERREY CITY, MX","25.733","-100.3","515.0","2017-03-05","20.6",",,S","17.4","H,,S",,,,
"MXM00076393","MONTERREY CITY, MX","25.733","-100.3","515.0","2017-03-06","0.0",",,S","21.9","H,,S",,,,
"MXM00076393","MONTERREY CITY, MX","25.733","-100.3","515.0","2017-03-07","0.0",",,S","23.9","H,,S","32.0",",,S","15.4",",,S"
"MXM00076393","MONTERREY CITY, MX","25.733","-100.3","515.0","2017-03-08","0.0",",,S","21.7","H,,S","31.1",",,S","18.4",",,S"
"MXM00076393","MONTERREY CITY, MX","25.733","-100.3","515.0","2017-03-09","17.5",",,S","22.0","H,,S",,,,
"MXM00076393","MONTERREY CITY, MX","25.733","-100.3","515.0","2017-03-10","0.0",",,S","22.3","H,,S","27.6",",,S","18.2",",,S"
"MXM00076393","MONTERREY CITY, MX","25.733","-100.3","515.0","2017-03-11","9.9",",,S","21.2","H,,S","29.6",",,S","17.8",",,S"
"MXM00076393","MONTERREY CITY, MX","25.733","-100.3","515.0","2017-03-12","0.0",",,S","19.9","H,,S",,,,
"MXM00076393","MONTERREY CITY, MX","25.733","-100.3","515.0","2017-03-13","13.0",",,S","18.8","H,,S","26.2",",,S","14.4",",,S"
"MXM00076393","MONTERREY CITY, MX","25.733","-100.3","515.0","2017-03-14","0.0",",,S","17.3","H,,S","28.0",",,S","14.4",",,S"
"MXM00076393","MONTERREY CITY, MX","25.733","-100.3","515.0","2017-03-15","0.0",",,S","16.9","H,,S",,,,
"MXM00076393","MONTERREY CITY, MX","25.733","-100.3","515.0","2017-03-16","0.0",",,S","21.1","H,,S",,,,
"MXM00076393","MONTERREY CITY, MX","25.733","-100.3","515.0","2017-03-17","0.0",",,S","21.2","H,,S","29.2",",,S","17.4",",,S"
"MXM00076393","MONTERREY CITY, MX","25.733","-100.3","515.0","2017-03-18","0.0",",,S","22.6","H,,S","29.4",",,S","17.4",",,S"
"MXM00076393","MONTERREY CITY, MX","25.733","-100.3","515.0","2017-03-19","0.0",",,S","22.3","H,,S","30.2",",,S","18.4",",,S"
"MXM00076393","MONTERREY CITY, MX","25.733","-100.3","515.0","2017-03-20","0.0",",,S","24.7","H,,S","29.8",",,S","17.6",",,S"
"MXM00076393","MONTERREY CITY, MX","25.733","-100.3","515.0","2017-03-21","0.0",",,S","24.9","H,,S",,,,
"MXM00076393","MONTERREY CITY, MX","25.733","-100.3","515.0","2017-03-22","0.0",",,S","23.7","H,,S","32.4",",,S","17.4",",,S"
"MXM00076393","MONTERREY CITY, MX","25.733","-100.3","515.0","2017-03-23","0.0",",,S","22.9","H,,S","30.8",",,S","18.0",",,S"
"MXM00076393","MONTERREY CITY, MX","25.733","-100.3","515.0","2017-03-24","0.5",",,S","24.2","H,,S",,,,
"MXM00076393","MONTERREY CITY, MX","25.733","-100.3","515.0","2017-03-25","0.0",",,S","26.1","H,,S",,,,
"MXM00076393","MONTERREY CITY, MX","25.733","-100.3","515.0","2017-03-26","0.0",",,S","26.7","H,,S","34.8",",,S","19.8",",,S"
"MXM00076393","MONTERREY CITY, MX","25.733","-100.3","515.0","2017-03-27","0.0",",,S","29.6","H,,S","34.6",",,S","19.8",",,S"
"MXM00076393","MONTERREY CITY, MX","25.733","-100.3","515.0","2017-03-28","0.0",",,S","26.3","H,,S","34.7",",,S","20.0",",,S"
"MXM00076393","MONTERREY CITY, MX","25.733","-100.3","515.0","2017-03-29","0.0",",,S","25.8","H,,S","34.3",",,S","20.0",",,S"
"MXM00076393","MONTERREY CITY, MX","25.733","-100.3","515.0","2017-03-30","0.0",",,S","23.9","H,,S","33.0",",,S","18.4",",,S"
"MXM00076393","MONTERREY CITY, MX","25.733","-100.3","515.0","2017-03-31","0.0",",,S","23.1","H,,S","31.2",",,S","16.0",",,S"
"MXM00076393","MONTERREY CITY, MX","25.733","-100.3","515.0","2017-04-01","0.0",",,S","25.1","H,,S","34.0",",,S","16.0",",,S"
"MXM00076393","MONTERREY CITY, MX","25.733","-100.3","515.0","2017-04-02","0.0",",,S","26.4","H,,S","36.6",",,S","19.0",",,S"
"MXM00076393","MONTERREY CITY, MX","25.733","-100.3","515.0","2017-04-03","0.0",",,S","25.5","H,,S","36.8",",,S","17.0",",,S"
"MXM00076393","MONTERREY CITY, MX","25.733","-100.3","515.0","2017-04-04","0.0",",,S","25.5","H,,S","34.6",",,S","17.0",",,S"
"MXM00076393","MONTERREY CITY, MX","25.733","-100.3","515.0","2017-04-05","0.0",",,S","23.9","H,,S","38.6",",,S","17.4",",,S"
"MXM00076393","MONTERREY CITY, MX","25.733","-100.3","515.0","2017-04-06","0.0",",,S","21.9","H,,S","27.6",",,S","16.2",",,S"
"MXM00076393","MONTERREY CITY, MX","25.733","-100.3","515.0","2017-04-07","0.0",",,S","19.2","H,,S","27.4",",,S","15.6",",,S"
"MXM00076393","MONTERREY CITY, MX","25.733","-100.3","515.0","2017-04-08","0.0",",,S","21.9","H,,S",,,,
"MXM00076393","MONTERREY CITY, MX","25.733","-100.3","515.0","2017-04-09","0.0",",,S","22.2","H,,S","29.2",",,S","16.6",",,S"
"MXM00076393","MONTERREY CITY, MX","25.733","-100.3","515.0","2017-04-10","0.0",",,S","26.5","H,,S","32.4",",,S","18.4",",,S"
"MXM00076393","MONTERREY CITY, MX","25.733","-100.3","515.0","2017-04-11","0.0",",,S","25.6","H,,S","33.6",",,S","20.6",",,S"
"MXM00076393","MONTERREY CITY, MX","25.733","-100.3","515.0","2017-04-12","44.7",",,S","22.3","H,,S","30.6",",,S","17.6",",,S"
"MXM00076393","MONTERREY CITY, MX","25.733","-100.3","515.0","2017-04-13",,,"21.3","H,,S","28.2",",,S","17.6",",,S"
