iter	Passed	Remaining
0	0	713
1	12	6256
2	13	4482
3	14	3588
4	18	3690
5	19	3191
6	20	2925
7	21	2699
8	27	2999
9	31	3102
10	37	3361
11	38	3147
12	44	3374
13	45	3174
14	54	3560
15	54	3370
16	55	3219
17	56	3081
18	57	2950
19	57	219	118	5796
20	119	5562
21	119	532923	92	3757
24	93	3628
25	95	3578
2626	77	2793
27	77	2707
28	78	2627
29	88	2849
30	91	2875
31	92	2799
32	93	2726
33	93	2656
34	93	2590
35	94	2543
36	95	2487
37	96	2430
38	98	2420
39	99	2378
40	99	2333
41	105	2407
42	106	2364
43	106	2323
44	107	2286
45	108	2249
46	109	2215
47	109	2180
48	110	2149
49	111	2120
50	112	50	140	2605
51	142	2593
52	143	2562
53	144	2526
54	145	2494
55	147	2494
56	148	2459
57	154	2509
58	155	2476
59	158	2488
60	159	2455
61	160	2422
62	161	2408
63	164	2403
64	165	2377
65	165	2346
66	166	2316
67	167	2291
68	167	2266
69	169	2246
70	169	2219
71	170	2193
72	170	2168
73	171	2143
74	172	2121
75	172	2096
76	172	2073
77	175	2071
78	175	2048
79	178	2055
80	179	2036
81	180	2022
82	186	2061
83	186	2039
84	187	2019
85	188	1998
86	189	1986
87	189	1967
88	190	1949
89	190	1930
90	194	1945
91	195	1933
92	196	1916
93	197	1900
94	200	1913
95	201	1898
96	203	1897
97	206	1904
98	207	1889
99	208	1877
100	209	1861
101	211	1861
102	214	1864
103	214	1848
104	215	1833
105	215	1817
106	216	1804
107	216	1790
108	217	1777
109	221	1791
110	223	1787
111	223	1773
112	224	1759
113	224	1746
114	228	1760
115	231	1765
116	232	1755
117	233	1742
118	233	1731
119	235	1727
120	236	1716
121	237	1706
122	240	1712
123	240	1702
124	241	1693
125	242	1683
126	243	1674
127	244	1664
128	246	1664
129	247	1653
130	252	1674
131	252	1663
132	253	1651
133	253	1641
134	254	1630
135	255	1620
136	255	1609
137	255	1599
138	256	1589
139	257	1579
140	257	1569
141	258	1560
142	259	1555
143	260	1548
144	261	1539
145	265	1554
146	266	1546
147	267	1537
148	267	1528
149	268	1520
150	268	1511
151	269	1503
152	272	1507
153	272	1499
154	273	1491
155	274	1482
156	274	1474
157	275	1466
158	280	1481
159	283	1486
160	284	1480
161	286	1484
162	287	1476
163	288	1469
164	288	1461
165	289	1453
166	289	1446
167	290	1440
168	291	1433
169	292	1427
170	292	1419
171	296	1425
172	296	1418
173	300	1424
174	301	1419
175	305	1431
176	306	1424
177	308	1423
178	310	1422
179	310	1415
180	312	1412
181	312	1406
182	313	1399
183	317	1407
184	317	1400
185	319	1396
186	319	1390
187	320	1383
188	321	1377
189	321	1371
190	32191	311	1309
192	312192	32193	315	1312
194	317	1309
195	321	1320
196	322	1314
197	323	1308
198	327	1317
199	327	1311
200	328	1305
201	328201	349	1378
202	351	1380
203	355	1386
204	357	1386
205	358	1381
206	359	1376
207	360	1370
208	361	1369
209	363	1368
210	36211	352	1308
212	356	1318
213	357	1312
214	357	1306
215	358215	372	1352
216	37217	361217	37218	361218	37219	362219	37220	363	1282
221	365	1282
222	366222	38223	368223	38224	370224	384	1325
225	38226	376	1282
227	377	1279
228	378	1274
229	379	1268
230	380	1267
231	382	1266
232	383	1262
233	385	1263
234	388	1265
235	393	1275
236	396	1275
237	396	1270
238	397	1265
239	397	1259
240	398	1254
241	400	1255
242	401	1251
243	402	1246
244	402	1241
245	405	1242
246	408	1244
247	409	1240
248	409	1236
249	410	1232
250	414	1235
251	414	1231
252	415	1226
253	417	1226
254	419	1224
255	419	1220
256	420	1215
257	421	1211
258	424	1213
259	427	1216
260	432	1224
261	435	1226
262	436	1222
263	438	1221
264	439	1218
265	442	1219
266	442	1215
267	443	1211
268	444	1207
269	445	1203
270	445	1199
271	450	1206
272	451	1203
273	452	1199
274	453	1195
275	454	1192
276	460	1201
277	466	1212
278	467	1208
279	468	1204
280	468	1199
281	469	1195
282	470	1191
283	471	1187
284	472	1184
285	473	1181
286	474	1177
287	474	1174
288	475	1170
289	481	1178
290	481	1174
291	482	1170
292	487	1176
293	494	1187
294	497	1188
295	498	1184
296	499	1181
297	504	1189
298	513	1203
299	514	1200
300	515	1196
301	516	1192
302	516	1188
303	518	1187
304	519	1183
305	521	1182
306	522	1179
307	523	1176
308	524	1172
309	529	1177
310	529	1173
311	530	1170
312	535	1175
313	536	1171
314	537	1167
315	537	1164
316	545	1174
317	545	1170
318	546	1167
319	553	1175
320	559	1182
321	561	1182
322	564	1183
323	565	1179
324	567	1178
325	568	1176
326	569	1172
327	573	1175
328	574	1171
329	577	1172
330	578	1168
331	579	1165
332	579	1161
333	581	1159
334	588	1167
335	589	1164
336	590	1160
337	590	1157
338	592	1154
339	597	1159
340	600	1161
341	601	1157
342	605	1159
343	605	1155
344	608	1154
345	609	1151
346	610	1148
347	611	1146
348	614	1146
349	616	1145
350	617	1141
351	619	1140
352	620	1137
353	621	1134
354	623	1131
355	626	1133
356	628	1131
357	628	1127
358	629	1124
359	630	1120
360	630	1116
361	631	1112
362	633	1111
363	635	1110
364	636	1107
365	638	1105
366	638	1101
367	639	1098
368	640	1095
369	643	1096
370	646	1095
371	647	1092
372	650	1092
373	650	1089
374	651	1085
375	652	1082
376	654	1081
377	656	1080
378	658	1078
379	660	1077
380	661	1074
381	663	1074
382	664	1070
383	667	1071
384	668	1068
385	669	1065
386	673	1067
387	674	1063
388	674	1060
389	675	1056
390	675	1052
391	677	1050
392	678	1047
393	678	1044
394	679	1040
395	679	1036
396	680	1033
397	680	1029
398	682	1027
399	682	1023
400	683	1020
401	684	1018
402	686	1017
403	687	1014
404	688	1010
405	691	1011
406	691	1008
407	692	1004
408	692	1001
409	693	997
410	693	994
411	694	991
412	695	987
413	695	984
414	697	983
415	698	980
416	699	978
417	700	974
418	702	973
419	703	971
420	704	968
421	704	964
422	704	961
423	705	958
424	708	958
425	709	955
426	709	952
427	710	948
428	710	945
429	711	942
430	711	939
431	712	936
432	715	936
433	718	936
434	720	935
435	721	932
436	721	930
437	722	926
438	729	932
439	731	930
440	734	931
441	736	929
442	737	927
443	740	927
444	741	925
445	747	928
446	751	929
447	751	926
448	752	923
449	753	920
450	753	917
451	754	914
452	754	911
453	755	908
454	756	906
455	756	903
456	757	899
457	760	899
458	761	897
459	762	895
460	762	891
461	763	889
462	764	886
463	764	883
464	765	880
465	765	877
466	766	874
467	766	871
468	767	868
469	768	866
470	769	864
471	770	861
472	773	861
473	773	858
474	773	855
475	774	852
476	774	849
477	776	848
478	777	845
479	778	843
480	778	840
481	779	837
482	779	834
483	784	836
484	785	833
485	785	830
486	786	828
487	790	829
488	793	829
489	793	826
490	794	823
491	795	821
492	797	820
493	797	817
494	800	817
495	802	815
496	802	812
497	803	809
498	803	807
499	804	804
500	805	801
501	808	802
502	809	799
503	814	801
504	815	799
505	816	796
506	817	794
507	817	791
508	818	789
509	821	789
510	822	787
511	823	784
512	824	782
513	824	779
514	825	777
515	826	774
516	835	780
517	836	778
518	837	776
519	841	777
520	842	774
521	843	772
522	845	770
523	846	768
524	849	769
525	851	767
526	852	765
527	853	763
528	855	761
529	855	758
530	856	756
531	857	754
532	859	752
533	860	750
534	862	749
535	866	750
536	872	751
537	874	750
538	875	748
539	879	749
540	880	746
541	880	744
542	890	749
543	893	749
544	894	747
545	895	744
546	900	746
547	901	743
548	902	741
549	906	741
550	907	739
551	908	737
552	908	734
553	912	734
554	913	732
555	914	730
556	916	729
557	919	728
558	919	725
559	920	723
